80	,	29	,	37	;
160	,	29	,	37	;
240	,	29	,	37	;
320	,	29	,	37	;
400	,	29	,	37	;
480	,	29	,	36	;
560	,	29	,	36	;
640	,	29	,	36	;
720	,	29	,	36	;
800	,	29	,	36	;
880	,	28	,	35	;
960	,	28	,	35	;
1040	,	28	,	35	;
1120	,	28	,	35	;
1200	,	28	,	35	;
1280	,	28	,	34	;
1360	,	28	,	34	;
1440	,	28	,	34	;
1520	,	28	,	34	;
1600	,	28	,	34	;
1680	,	28	,	34	;
1760	,	26	,	34	;
1840	,	25	,	34	;
1920	,	24	,	34	;
2000	,	23	,	34	;
2080	,	22	,	34	;
2160	,	21	,	34	;
2240	,	20	,	34	;
2320	,	19	,	34	;
2400	,	18	,	34	;
2480	,	17	,	35	;
2560	,	16	,	35	;
2640	,	15	,	35	;
2720	,	14	,	35	;
2800	,	13	,	35	;
2880	,	12	,	35	;
2960	,	11	,	35	;
3040	,	10	,	35	;
3120	,	9	,	35	;
3200	,	9	,	35	;
3280	,	9	,	35	;
3360	,	9	,	35	;
3440	,	9	,	35	;
3520	,	9	,	35	;
3600	,	9	,	35	;
3680	,	9	,	35	;
3760	,	9	,	35	;
3840	,	9	,	35	;
3920	,	9	,	35	;
4000	,	9	,	35	;
4080	,	9	,	35	;
4160	,	9	,	35	;
4240	,	9	,	35	;
4320	,	9	,	35	;
4400	,	9	,	35	;
4480	,	9	,	35	;
4560	,	9	,	35	;
4640	,	9	,	35	;
4720	,	9	,	35	;
4800	,	9	,	35	;
4880	,	9	,	35	;
4960	,	9	,	35	;
5040	,	9	,	35	;
5120	,	9	,	35	;
5200	,	9	,	35	;
5280	,	9	,	35	;
5360	,	9	,	35	;
5440	,	9	,	35	;
5520	,	9	,	35	;
5600	,	9	,	35	;
5680	,	9	,	35	;
5760	,	9	,	35	;
5840	,	9	,	35	;
5920	,	9	,	35	;
6000	,	9	,	35	;
6080	,	9	,	35	;
6160	,	9	,	35	;
6240	,	9	,	35	;
6320	,	9	,	35	;
6400	,	9	,	35	;
6480	,	8	,	35	;
6560	,	8	,	35	;
6640	,	8	,	35	;
6720	,	8	,	35	;
6800	,	8	,	35	;
6880	,	8	,	35	;
6960	,	8	,	35	;
7040	,	8	,	35	;
7120	,	8	,	35	;
7200	,	8	,	35	;
7280	,	8	,	35	;
7360	,	8	,	35	;
7440	,	8	,	35	;
