63,63,114,62,106,63,63,119,63,63,63;
63,63,63,63,63,63,63,105,45,50,67;
91,63,63,63,63,91,68,63,63,63,60;
78,59,20,27,117,63,63,63,63,63,63;
62,49,36,75,63,63,63,63,63,122,121;
63,63,98,51,76,108,96,87,63,63,63;
85,69,52,65,92,101,104,63,63,63,63;
63,63,63,108,116,63,63,82,52,85,112;
92,68,27,12,13,12,31,102,63,63,63;
63,63,63,110,93,119,63,63,63,63,63;
63,63,63,121,103,63,63,63,63,63,63;
63,63,63,115,80,66,40,19,42,102,63;
63,63,63,63,63,81,37,53,112,63,63;
63,63,63,107,74,32,4,26,84,114,63;
63,63,106,80,36,3,23,82,114,63,63;
63,63,63,114,85,41,4,20,75,106,63;
63,63,63,104,79,42,12,30,86,115,63;
63,63,122,100,55,23,44,105,63,63,63;
63,63,63,110,78,33,7,34,96,127,63;
63,63,63,126,92,63,22,4,45,119,63;
63,63,114,62,106,63,63,119,63,63,63;
63,63,63,63,63,63,63,105,45,50,67;
91,63,63,63,63,91,68,63,63,63,60;
78,59,20,27,117,63,63,63,63,63,63;
62,49,36,75,63,63,63,63,63,122,121;
63,63,98,51,76,108,96,87,63,63,63;
85,69,52,65,92,101,104,63,63,63,63;
63,63,63,108,116,63,63,82,52,85,112;
92,68,27,12,13,12,31,102,63,63,63;
63,63,63,110,93,119,63,63,63,63,63;
63,63,63,121,103,63,63,63,63,63,63;
63,63,63,115,80,66,40,19,42,102,63;
63,63,63,63,63,81,37,53,112,63,63;
63,63,63,107,74,32,4,26,84,114,63;
63,63,106,80,36,3,23,82,114,63,63;
63,63,63,114,85,41,4,20,75,106,63;
63,63,63,104,79,42,12,30,86,115,63;
63,63,122,100,55,23,44,105,63,63,63;
63,63,63,110,78,33,7,34,96,127,63;
63,63,63,126,92,63,22,4,45,119,63;
63,63,114,62,106,63,63,119,63,63,63;
63,63,63,63,63,63,63,105,45,50,67;
91,63,63,63,63,91,68,63,63,63,60;
78,59,20,27,117,63,63,63,63,63,63;
62,49,36,75,63,63,63,63,63,122,121;
63,63,98,51,76,108,96,87,63,63,63;
85,69,52,65,92,101,104,63,63,63,63;
63,63,63,108,116,63,63,82,52,85,112;
92,68,27,12,13,12,31,102,63,63,63;
63,63,63,110,93,119,63,63,63,63,63;
63,63,63,121,103,63,63,63,63,63,63;
63,63,63,115,80,66,40,19,42,102,63;
63,63,63,63,63,81,37,53,112,63,63;
63,63,63,107,74,32,4,26,84,114,63;
